IDFuel,Time,DriverID,CityID,Amount,Price
93,2016-10-24 02:22:30,8,8,72893,31941
94,2013-02-10 02:12:56,6,10,31,5
95,2018-03-14 14:09:46,9,14,03,00
96,2012-11-08 06:43:41,10,8,61331,5545
97,2016-05-01 07:25:27,14,13,8,19
98,2016-05-30 15:20:51,6,8,450,709
99,2018-06-04 05:30:48,12,14,32736,9
100,2019-12-30 14:03:53,12,9,66,9
101,2019-03-28 18:08:15,11,9,1,81
102,2020-02-02 02:35:57,14,6,2,66
103,2014-08-11 04:42:42,11,9,3,10
104,2015-08-06 08:21:17,5,12,387,434
105,2015-03-15 22:28:36,14,9,48,8796
106,2014-02-12 16:21:37,10,14,6,385
107,2020-07-13 17:01:20,10,5,387,7764
108,2019-11-17 13:37:40,6,9,4,2
109,2019-09-16 15:54:39,8,6,749,4016
110,2017-01-19 12:25:14,12,7,90411,78133
111,2015-09-12 02:20:59,9,10,71397,91146
112,2013-06-01 02:42:25,9,10,84,429
113,2018-10-30 15:41:35,8,10,79215,47
114,2014-06-03 11:05:35,10,5,7,27
115,2014-01-27 17:02:12,12,5,0916,2
116,2013-07-09 01:57:48,10,12,8565,646
117,2018-03-29 21:18:30,9,13,0817,617
118,2016-09-11 19:06:06,12,13,7640,30
119,2018-02-03 16:04:38,8,9,5941,479
120,2018-07-21 15:54:19,13,12,9052,9
121,2015-09-20 10:20:57,14,7,68,623
122,2014-12-31 04:00:43,9,5,259,83
123,2013-09-03 12:34:48,10,9,25034,0663
124,2019-11-22 16:09:27,13,14,822,2291
125,2014-10-29 20:23:10,9,13,43,8
126,2019-07-07 05:57:37,10,14,974,25041
127,2019-05-29 02:20:28,6,10,66,55829
128,2018-11-16 18:17:11,10,9,758,57
129,2020-05-05 15:30:18,14,11,8,173
130,2013-07-16 07:18:47,10,10,1954,16
131,2014-10-30 03:39:44,5,10,46,145
132,2017-05-12 14:21:04,9,9,8,7
133,2020-09-20 21:31:37,6,7,0,0
134,2019-04-03 08:35:27,9,13,0326,25
135,2018-11-29 13:04:17,14,12,5502,0292
136,2014-11-17 14:22:43,8,12,84,7
137,2013-02-06 16:44:29,11,10,40844,2
138,2013-03-01 03:31:22,9,10,86,06515
139,2019-02-06 03:04:38,9,9,71792,2
140,2018-07-14 17:14:19,12,12,049,04269
141,2016-04-08 09:03:38,9,6,61066,28
142,2014-01-17 14:06:30,6,7,8945,46911
143,2013-07-23 04:19:22,7,9,4,34
144,2019-01-28 01:20:34,11,8,793,78
145,2017-05-19 05:02:19,5,10,4787,8
146,2016-05-27 14:44:47,11,11,7,56
147,2020-06-13 14:49:11,7,9,96,8
148,2020-02-10 21:12:53,7,7,83,534
149,2015-12-30 03:28:34,7,13,50507,979
150,2015-05-04 22:35:59,13,7,8,3
151,2019-10-28 11:11:42,10,9,48,64
152,2019-05-29 11:01:58,10,12,6,3507
153,2018-02-07 16:05:31,7,9,017,0
154,2016-09-01 06:04:19,7,8,8,6
155,2020-08-23 21:16:44,6,11,1,127
156,2016-02-07 10:58:32,6,12,60,027
157,2017-10-05 06:25:48,10,5,1,5735
158,2014-06-27 01:03:22,9,6,87431,935
159,2013-06-27 16:21:45,11,7,87,94
160,2020-10-28 04:43:21,12,13,13,5
161,2017-12-07 23:36:15,8,12,607,5
162,2014-07-09 08:41:58,5,7,8,442
163,2020-01-17 03:49:07,10,12,9485,01
164,2019-06-27 21:25:48,8,8,1954,6554
165,2019-01-19 02:32:11,7,7,4,5
166,2019-01-24 16:39:08,9,5,359,3125
167,2014-05-23 00:13:21,11,13,34,44
168,2013-08-21 09:57:37,10,10,89434,0991
169,2013-04-14 21:38:46,9,7,3,8884
170,2016-05-04 02:20:33,5,13,9,11489
171,2014-01-20 09:13:43,5,14,434,2
172,2018-02-09 05:21:18,6,7,7216,9
173,2017-01-13 14:45:19,11,9,12904,69594
174,2019-05-29 00:52:16,7,8,23,477
175,2017-12-06 16:12:53,14,6,0849,67825
176,2016-04-13 03:06:34,13,8,2,965
177,2013-10-19 00:50:33,9,6,70,8
178,2016-12-17 05:32:40,5,10,014,91124
179,2014-08-15 15:17:04,12,7,13,494
180,2014-03-16 07:20:14,6,14,39,53
181,2015-03-05 11:34:51,11,14,3996,594
182,2015-09-13 22:25:00,8,11,30,0571
183,2019-12-16 19:56:05,5,5,840,78
184,2014-11-06 14:19:36,9,14,5,3741
185,2016-06-01 15:18:22,5,6,288,92
186,2018-04-09 19:14:43,8,9,558,176
187,2015-03-28 02:30:31,9,9,5831,1030
188,2017-01-17 12:24:49,12,14,5,83823
189,2019-12-15 01:25:21,12,9,50660,858
190,2016-03-02 01:05:47,11,6,6,711
191,2012-12-23 03:48:09,5,9,08,8925
192,2018-01-18 13:57:53,14,14,516,889
193,2014-07-26 20:12:18,8,12,1,89
194,2013-09-20 04:47:46,10,13,16,45828
195,2017-04-02 05:17:11,10,10,9921,9794
196,2014-03-28 00:51:00,13,7,627,922
197,2015-12-06 12:38:34,10,12,2667,0652
198,2018-07-15 19:23:19,12,10,5,123
199,2014-12-12 06:55:03,11,8,3565,90
200,2017-08-17 15:18:17,14,12,15,3667
201,2013-07-15 01:48:53,11,13,72954,1199
202,2017-06-28 08:36:15,7,8,7,08
203,2016-09-30 02:45:35,10,11,6070,618
204,2017-08-27 19:47:03,11,13,6,987
205,2019-06-25 01:29:27,14,13,775,1
206,2019-06-18 07:57:59,6,5,2,12195
207,2014-06-23 06:19:47,5,6,3,39419
208,2013-12-22 04:46:54,10,9,632,93
209,2018-10-18 17:08:18,8,9,0,3518
210,2019-10-29 08:55:03,11,5,8976,089
211,2016-07-16 00:44:43,10,9,6222,53917
212,2013-07-27 19:27:59,8,8,90,88
213,2018-01-08 19:25:23,8,10,2,38
214,2019-01-09 05:07:54,6,9,044,52
215,2017-06-21 21:08:35,7,11,4,396
216,2018-10-02 07:50:47,12,10,51756,302
217,2019-04-10 08:07:00,9,14,2,836
218,2019-10-27 09:26:59,11,13,8,82837
219,2019-03-15 01:58:41,13,10,74,4
220,2014-12-26 19:55:27,13,8,30,902
221,2013-01-10 08:43:21,9,12,5439,04
222,2013-01-16 02:16:44,13,7,4640,52459
223,2015-07-09 07:29:24,6,10,84,08
224,2013-05-16 22:42:14,14,9,1091,8
225,2017-10-27 14:54:24,5,6,445,628
226,2013-05-09 15:18:05,11,11,42199,4946
227,2013-11-13 00:16:58,12,12,99,3710
228,2016-12-10 07:56:02,11,6,24,44
229,2013-09-15 22:19:03,9,8,6,9626
230,2020-07-20 22:20:40,10,9,836,40
231,2015-01-07 18:19:19,13,12,86889,14685
232,2020-07-03 14:04:08,10,11,0,498
233,2019-01-31 13:48:20,7,7,5,0
234,2014-12-27 01:07:58,14,11,428,7438
235,2016-01-22 22:29:30,9,6,51757,70303
236,2019-09-01 15:02:34,8,8,8,8113
237,2018-02-11 16:45:13,13,11,7,8
238,2020-02-22 14:53:36,14,11,9626,5445
239,2020-03-17 16:21:05,8,11,90,07
240,2016-03-16 23:54:45,7,10,5,991
241,2014-11-01 09:30:05,7,8,180,4
242,2017-02-08 20:01:34,14,6,1038,604
243,2019-12-09 09:15:16,5,11,43637,0
244,2019-10-31 09:13:04,11,8,8,27
245,2020-03-02 17:30:27,12,13,83475,82
246,2019-12-29 23:43:09,12,5,80,5702
247,2016-03-24 06:54:28,8,6,8350,0275
248,2013-09-23 13:25:55,8,9,9972,6
249,2019-06-26 07:53:39,8,10,0095,17
250,2019-04-07 15:48:43,5,5,7,12
251,2020-08-04 07:44:12,5,9,1354,174
252,2020-10-26 12:51:16,8,5,922,5
253,2018-12-07 01:02:58,14,9,7,8770
254,2013-12-14 11:44:24,9,14,3,39
255,2019-06-11 10:15:18,12,11,6,7
256,2015-12-09 15:00:24,11,7,64153,59
257,2019-11-21 22:58:32,11,5,9745,23
258,2019-05-01 16:07:00,13,6,06,3271
259,2017-05-31 02:45:44,9,14,930,0950
260,2014-09-18 05:41:14,8,7,0665,0
261,2013-01-11 12:09:12,7,14,58,99112
262,2014-04-04 16:25:29,10,11,63,60
263,2018-11-14 01:11:10,9,13,64,475
264,2018-03-10 08:18:12,13,5,14864,486
265,2016-01-24 22:49:16,7,8,656,05
266,2013-04-01 04:56:36,10,11,38067,9
267,2014-07-31 04:54:27,7,7,93800,7888
268,2018-01-05 20:23:05,11,9,6853,854
269,2015-12-16 23:04:21,12,10,066,71
270,2013-12-06 20:15:18,14,6,00,72222
271,2019-08-12 06:21:42,13,7,59,9914
272,2015-11-27 06:55:00,14,5,011,10184
273,2018-03-21 12:18:24,8,5,3221,45699
274,2019-01-31 11:42:41,5,11,52809,12
275,2019-09-23 09:22:06,14,9,00614,060
276,2018-12-24 19:36:27,7,7,93,0692
277,2019-12-29 11:26:42,6,14,4,643
278,2013-08-01 19:33:59,13,12,353,55
279,2020-05-17 05:24:09,6,11,16908,641
280,2015-02-22 19:15:01,10,10,3,1
281,2018-10-18 02:10:28,7,7,8950,4171
282,2016-06-14 13:14:52,5,14,97736,33222
283,2017-04-18 11:38:13,11,11,31846,75153
284,2014-05-15 15:56:28,13,5,1676,4302
285,2012-12-26 13:51:50,5,12,406,1889
286,2014-06-04 19:55:27,14,7,0136,851
287,2017-12-15 22:25:17,13,14,806,4445
288,2012-12-23 21:29:26,8,6,33688,8
289,2016-07-17 16:31:25,7,11,29,078
290,2016-11-30 21:13:37,7,14,7,14687
291,2018-01-22 10:35:54,13,9,4550,49
292,2014-10-10 03:35:30,6,8,89,85936
293,2013-07-29 16:34:11,6,6,171,24
294,2014-10-02 17:48:30,12,13,220,29
295,2015-12-07 19:15:28,12,10,246,130
296,2015-12-25 12:11:32,14,12,1,7336
297,2020-03-02 22:43:08,13,6,31574,78
298,2018-04-09 19:02:08,10,11,07903,28
299,2013-07-30 15:59:23,12,11,7089,96
300,2016-01-18 08:30:31,9,5,91067,485
301,2018-04-03 08:58:36,9,8,71,2593
302,2015-04-25 01:31:41,9,8,87,30
303,2014-11-22 05:47:47,7,9,94184,54
304,2019-03-04 07:51:01,5,14,3450,7641
305,2016-07-19 11:57:05,11,11,05,25172
306,2016-02-01 10:53:01,10,13,5,266
307,2014-06-27 03:23:44,12,11,12108,591
308,2016-10-02 12:02:36,10,8,2855,13
309,2014-11-26 09:01:48,11,5,43493,9
310,2017-03-29 05:52:30,12,5,31,46
311,2019-09-01 23:04:03,14,8,20,45708
312,2018-02-15 00:04:07,8,8,91737,558
313,2013-12-13 15:42:10,9,11,592,1742
314,2013-03-09 18:56:03,14,8,2293,6
315,2019-12-26 04:48:48,11,10,42,627
316,2017-11-17 04:50:06,12,10,1,27485
317,2015-02-23 02:31:13,5,10,7435,4601
318,2018-02-06 19:47:58,7,10,17,39796
319,2014-08-08 12:10:25,5,11,3311,057
320,2019-04-22 02:25:09,12,6,11997,4
321,2013-06-23 03:17:09,8,12,927,16
322,2015-10-18 14:00:19,9,8,115,1924
323,2020-10-16 01:04:02,12,6,007,41173
324,2019-01-14 14:19:11,5,6,4,30
325,2019-01-24 21:27:44,12,5,8842,8
326,2015-07-05 15:09:30,14,13,7,88499
327,2016-08-25 07:10:15,8,11,1,21
328,2014-10-27 00:09:51,8,11,7998,27866
329,2018-11-03 10:07:11,12,14,04,663
330,2017-12-09 09:15:34,11,12,30,46
331,2017-06-02 18:17:37,7,8,133,1952
332,2013-12-30 10:29:30,8,12,7181,3710
333,2014-05-08 18:33:10,14,7,00910,618
334,2018-12-09 11:19:04,6,14,251,9885
335,2013-07-04 04:06:46,8,7,14499,728
336,2017-04-07 11:00:21,10,11,69971,2196
337,2014-02-27 05:05:39,8,13,5804,8
338,2019-04-09 00:53:24,13,13,24135,25
339,2013-04-14 12:29:42,5,7,1248,8
340,2019-11-24 19:11:22,13,11,55,6
341,2019-05-05 05:42:16,14,6,83519,53
342,2013-11-09 14:03:07,8,6,58,811
343,2015-02-12 08:59:56,9,13,72165,70
344,2013-09-20 00:19:56,11,11,39653,2495
345,2018-10-04 18:26:39,5,12,37235,559
346,2015-01-25 10:40:27,12,14,865,2
347,2018-12-10 00:53:21,8,5,96,647
348,2018-04-07 13:01:35,11,10,1443,106
349,2020-05-11 04:42:47,13,8,2405,6089
350,2017-10-14 23:35:46,8,12,75193,29678
351,2019-09-01 09:27:03,10,5,344,3976
352,2015-08-08 05:58:22,11,5,3353,53
353,2016-11-03 06:32:31,13,7,2,78607
354,2016-05-27 05:31:26,12,7,57,447
355,2019-07-31 14:38:13,13,8,9992,0
356,2014-12-10 17:32:38,9,5,541,99639
357,2015-02-23 22:18:11,10,14,37637,18333
358,2012-11-22 18:47:09,9,11,2599,9
359,2015-09-11 07:21:02,10,6,617,59577
360,2015-03-24 08:50:30,9,6,97,60
361,2017-12-07 21:52:53,7,10,7,78
362,2012-12-27 22:39:37,14,7,14,00
363,2017-03-26 21:25:37,6,6,92996,57561
364,2015-07-05 14:09:20,5,11,24503,427
365,2018-04-21 19:29:13,5,6,4,815
366,2015-02-06 00:44:17,8,14,67,1538
367,2015-04-18 09:12:30,8,11,05,3
368,2013-02-02 08:29:11,7,11,68161,9
369,2018-10-13 06:43:38,8,9,053,42376
370,2016-12-04 01:12:19,5,7,99,2
371,2019-02-18 23:15:17,13,13,5066,8918
372,2013-12-16 09:43:00,5,8,90795,6974
373,2015-02-03 21:14:23,12,13,210,6010
374,2015-04-28 04:18:20,10,13,2,14861
375,2018-08-22 09:10:24,14,14,4,84
376,2020-09-13 14:37:37,10,12,69,2931
377,2014-07-16 01:31:06,9,13,89,40445
378,2014-02-23 20:57:13,10,13,894,97802
379,2016-01-25 10:07:07,7,9,41,41419
380,2020-10-16 17:44:04,8,5,7997,144
381,2018-06-20 05:43:02,9,6,166,3004
382,2015-05-02 14:00:48,14,14,1882,0
383,2019-07-23 00:38:10,7,14,4064,265
384,2016-10-24 04:22:01,5,12,9,67671
385,2018-07-06 19:29:31,8,5,43905,0292
386,2015-03-04 12:46:38,7,8,7314,8
387,2013-05-02 06:57:55,12,10,53274,62085
388,2020-04-23 03:26:31,10,7,0412,3
389,2013-11-23 20:22:28,8,7,05,28
390,2015-01-17 18:49:12,7,9,1,06133
391,2020-06-20 17:13:14,8,5,9225,5
392,2016-02-04 05:39:42,7,12,059,420
393,2013-01-20 07:39:00,6,13,3,33
394,2013-09-16 16:31:15,9,13,71,01
395,2013-09-19 11:43:16,7,6,16,6
396,2017-11-04 06:48:50,8,6,380,96587
397,2017-07-12 06:29:16,14,6,39074,6
398,2014-09-04 09:33:33,8,7,89579,68
399,2019-12-08 01:55:51,5,14,9,2765
400,2020-09-30 12:06:54,5,10,7920,43
401,2014-12-08 10:49:05,12,7,73682,17
402,2019-03-01 09:50:09,10,14,037,57180
403,2016-01-16 05:56:45,8,7,29806,712
404,2015-04-11 05:48:12,9,12,27,4498
405,2014-03-04 18:46:33,5,9,473,46
406,2017-12-03 01:22:09,11,10,2,391
407,2014-05-09 20:36:08,6,7,8678,6572
408,2015-12-06 09:43:31,10,13,22,8
409,2013-03-11 01:31:25,5,8,834,658
410,2015-11-25 00:45:21,10,6,28,96099
411,2015-12-31 14:12:05,12,6,9,88332
412,2013-03-13 22:55:08,10,9,1919,5820
413,2014-03-04 01:09:06,12,9,79,91
414,2014-11-27 22:25:06,10,10,1305,6872
415,2018-04-04 09:39:29,10,6,1118,072
416,2014-01-30 10:45:25,13,10,4251,21
417,2015-02-24 11:00:57,9,12,119,4
418,2020-07-31 21:52:08,7,10,7207,9
419,2013-09-08 15:23:41,13,13,116,09
420,2019-01-22 09:02:46,5,12,7156,90
421,2013-12-23 17:03:20,6,10,385,41659
422,2020-05-23 05:02:03,6,9,65397,7603
423,2018-05-13 14:22:23,10,13,81,4
424,2020-07-23 18:07:00,13,13,9,61
425,2015-05-03 01:34:53,11,14,135,23375
426,2016-01-02 05:28:28,10,10,23964,0745
427,2013-10-23 03:47:18,14,10,66308,35170
428,2017-06-16 16:40:09,14,5,2,4434
429,2013-12-04 16:31:37,8,8,1,50056
430,2017-07-19 02:04:34,12,13,28045,38
431,2016-11-01 11:43:14,9,14,92,422
432,2014-01-07 05:12:43,12,10,6712,8928
433,2013-03-31 16:08:13,7,8,098,05307
434,2014-08-08 17:57:24,6,8,8154,699
435,2018-07-11 07:57:56,13,12,6396,56
436,2019-11-27 08:21:06,8,7,75,8009
437,2013-05-01 04:41:27,8,13,37683,6717
438,2015-01-13 00:43:54,5,12,36861,543
439,2017-04-27 20:10:46,7,6,94,67
440,2014-03-05 13:14:18,6,12,0,5071
441,2018-04-08 15:43:47,12,7,08,2410
442,2020-01-18 13:04:25,12,14,81,2
443,2016-05-24 22:57:43,14,7,59,951
444,2016-04-10 23:05:01,10,10,8522,552
445,2014-09-13 09:51:12,13,5,5,491
446,2019-03-24 11:28:59,12,6,791,70167
447,2016-09-13 15:21:25,13,10,51090,4
448,2019-12-04 19:32:46,14,6,5626,6885
449,2019-03-18 07:11:33,5,5,610,2
450,2017-10-12 15:43:42,5,7,62,1
451,2014-07-23 17:59:47,6,13,89,05
452,2018-04-16 06:06:22,10,11,02937,89
453,2014-05-05 10:19:04,9,13,7105,013
454,2016-01-18 00:36:31,14,6,28,77
455,2016-09-15 15:50:33,10,7,41223,55013
456,2020-06-18 15:53:23,6,11,29863,3
457,2015-08-24 03:32:18,13,7,7559,47674
458,2013-12-13 10:06:15,8,10,87,62
459,2014-03-15 09:00:27,11,14,3,0
460,2015-04-22 22:12:12,11,5,1459,9990
461,2017-06-14 04:49:47,9,5,37,079
462,2019-05-10 03:49:15,13,6,85,340
463,2015-04-23 18:32:19,5,10,694,052
464,2018-11-23 08:44:42,14,7,04,5
465,2014-07-24 02:12:12,6,9,9889,20
466,2019-07-27 21:24:03,8,12,397,8
467,2016-02-01 23:13:09,11,11,0412,989
468,2016-10-07 01:22:05,5,12,489,8
469,2014-04-29 11:02:31,5,6,10439,6296
470,2017-05-24 05:08:18,10,12,49493,445
471,2015-12-09 19:16:09,12,8,5,1
472,2018-08-09 14:02:07,7,9,273,7
473,2016-03-23 16:37:51,12,6,954,3
474,2020-08-15 02:40:20,8,14,673,840
475,2017-06-02 19:03:14,9,6,46585,598
476,2015-01-02 23:56:21,9,13,54,38
477,2016-02-14 22:19:26,6,14,37,30
478,2015-11-08 19:03:53,9,13,173,458
479,2018-02-18 03:57:24,7,5,68700,8250
480,2013-04-16 14:34:47,7,7,10805,475
481,2014-09-21 23:05:40,12,8,51,1714
482,2018-03-17 16:47:01,7,8,87558,9
483,2020-04-19 23:04:04,8,6,72933,63
484,2016-12-09 02:50:06,12,5,3776,3200
485,2013-12-05 21:16:05,12,10,5,924
486,2013-08-31 09:53:49,5,9,39343,13210
487,2017-08-11 17:24:25,5,11,27,4
488,2016-07-06 13:09:23,7,13,117,26193
489,2016-02-05 07:30:01,14,7,3,87830
490,2015-10-29 03:14:07,8,13,2,6363
491,2016-08-21 05:36:55,7,11,0439,5
492,2015-03-14 00:14:11,9,10,8549,28970
493,2015-11-25 20:25:59,8,5,072,70
494,2014-04-12 11:33:33,7,14,41,9188
495,2017-05-12 12:48:21,14,9,108,1
496,2020-04-19 14:45:55,6,14,82087,8188
497,2018-09-18 09:09:56,6,12,0,340
498,2013-10-27 02:34:15,5,9,64471,04285
499,2014-01-07 01:20:18,7,12,2909,3
500,2017-10-17 09:30:44,6,13,03498,193
501,2018-01-31 22:19:29,6,6,4,0
502,2019-01-13 22:21:17,7,14,34165,50672
503,2017-04-22 07:21:20,8,10,3325,461
504,2017-04-21 21:17:00,8,9,0061,03
505,2020-05-30 08:12:07,14,12,439,4034
506,2018-07-19 01:11:07,9,13,41,7
507,2015-08-17 02:42:12,14,5,96,11456
508,2020-10-14 00:35:10,6,8,0955,229
509,2020-09-09 08:18:57,11,7,14,22
510,2018-01-10 03:59:09,12,12,87246,0
511,2012-12-04 19:33:56,10,13,9,941
512,2012-11-23 13:33:55,8,10,6355,7048
513,2013-05-20 11:33:52,13,13,393,38
514,2016-02-01 17:50:51,14,10,50162,1197
515,2016-07-03 08:41:08,6,8,470,3
516,2020-04-19 12:31:46,7,11,4,17
517,2018-04-30 14:27:49,14,7,7886,0070
518,2017-03-22 09:54:45,10,5,03406,40
519,2016-07-29 08:11:05,5,7,18763,44421
520,2018-06-07 17:01:42,7,6,204,37505
521,2015-05-13 11:53:56,14,13,532,6
522,2018-03-14 10:03:36,14,11,42207,8547
523,2014-10-24 09:54:18,8,10,4102,5
524,2017-05-25 06:41:38,13,12,91,48
525,2013-06-27 08:20:47,10,11,873,19
526,2016-03-11 07:49:34,10,6,9,5650
527,2018-08-07 12:20:48,6,7,85131,236
528,2016-05-16 15:57:42,6,6,720,66755
529,2017-07-29 10:52:27,13,13,1,256
530,2013-11-24 16:33:58,8,10,99167,754
531,2014-04-26 19:11:41,13,10,95,555
532,2019-07-13 15:12:24,5,8,2,576
533,2014-01-01 01:14:00,5,14,1206,2095
534,2019-11-22 03:33:40,8,11,6405,2898
535,2018-02-10 08:06:31,8,13,5,43959
536,2013-12-12 20:14:24,7,7,987,2544
537,2019-06-01 09:45:23,10,11,35910,4
538,2018-10-04 03:11:00,10,13,4847,90699
539,2015-03-28 18:19:58,9,13,61,5
540,2013-01-25 15:15:48,8,14,1593,1
541,2016-03-09 19:41:14,8,14,9,71109
542,2016-10-13 07:35:36,11,10,49113,73804
543,2019-08-01 18:21:24,12,6,456,9
544,2017-06-02 17:38:41,9,13,0564,0471
545,2018-05-30 13:56:51,14,6,5,88
546,2015-06-12 14:23:27,13,13,71595,51264
547,2019-09-21 01:01:27,6,5,3,1
548,2019-03-05 05:20:56,10,6,74726,528
549,2014-02-09 06:16:54,7,11,78,0
550,2016-12-22 02:33:05,5,8,691,1626
551,2018-02-02 23:58:03,13,11,9,6206
552,2013-12-02 06:29:52,13,10,8428,3
553,2019-09-08 14:45:39,11,10,30,652
554,2018-07-24 17:22:13,12,5,53879,96608
555,2013-02-28 12:21:14,12,5,444,75516
556,2015-09-22 11:05:32,10,7,19,4576
557,2013-10-17 04:17:10,8,6,474,051
558,2014-10-12 20:42:55,5,7,3,35439
559,2017-04-21 15:14:36,8,6,42,1104
560,2015-07-20 11:31:49,5,7,99991,2
561,2019-10-30 14:12:42,10,12,27,5
562,2014-08-24 04:03:52,14,5,98180,02084
563,2018-01-20 20:26:48,8,7,404,4
564,2015-07-19 11:03:20,14,6,3,624
565,2020-07-10 18:56:33,11,10,17,117
566,2017-06-07 14:59:57,7,11,43401,7
567,2016-12-12 00:57:12,13,12,615,6
568,2019-10-08 10:04:22,5,10,86,8817
569,2017-10-27 10:47:41,5,9,3583,64206
570,2014-07-11 05:54:33,6,6,95678,62969
571,2019-06-22 02:30:18,10,13,67,77649
572,2013-11-29 17:42:25,10,14,42,3284
573,2019-09-13 10:19:01,8,8,09,41049
574,2020-05-30 11:46:23,10,10,2,98
575,2017-07-17 17:30:48,14,7,4,4170
576,2014-01-21 18:44:16,10,12,8,6
577,2014-07-31 01:31:48,12,11,614,826
578,2018-11-13 05:38:39,10,9,3,27801
579,2013-05-16 17:33:03,7,12,66,9595
580,2020-02-19 08:04:06,9,5,20,77276
581,2018-08-24 22:56:42,14,14,506,92
582,2012-11-12 21:27:54,13,12,497,17575
583,2020-03-22 19:28:30,6,8,8864,65705
584,2017-08-06 15:02:20,6,11,00385,74
585,2019-10-14 14:07:22,13,13,24367,2545
586,2014-12-24 18:17:39,7,5,5,52504
587,2018-03-23 23:04:49,10,12,8868,9666
588,2015-05-05 04:03:37,10,8,0,1818
589,2016-12-17 10:37:04,5,9,47366,7
