IDTravelWarrant,DriverID,CarID,TravelWarrantTypeID,FuelID,RouteID
459,18,19,1,17,9
460,11,15,2,21,7
461,5,17,3,16,11
462,7,18,1,7,11
463,20,10,3,15,11
464,21,16,1,9,15
465,12,11,3,18,14
466,9,19,3,6,8
467,7,6,3,20,7
468,23,14,1,19,6
469,6,10,2,14,19
470,17,20,1,13,16
471,13,24,1,16,6
472,13,24,3,19,23
473,18,18,1,7,16
474,24,21,1,22,12
475,14,23,1,17,6
476,12,18,3,22,10
477,22,11,1,13,21
478,9,17,3,7,14
479,17,24,3,11,18
480,6,12,2,18,22
481,9,11,2,20,11
482,15,24,2,9,14
483,19,8,1,20,22
484,23,12,2,8,21
485,21,7,3,12,13
486,20,6,2,19,17
487,9,23,2,22,21
488,17,17,3,15,7
489,18,17,1,23,18
490,9,8,3,15,24
491,16,9,1,22,9
492,17,8,1,16,9
493,17,13,2,19,19
494,9,13,3,7,18
495,10,16,1,10,12
496,8,22,2,7,20
497,12,7,1,21,23
498,24,20,1,11,12
499,10,18,1,20,11
500,8,12,2,24,11
501,6,17,1,10,13
502,10,18,3,21,13
503,21,11,3,13,17
504,7,10,3,5,18
505,10,17,1,11,22
506,21,10,3,11,23
507,24,6,1,13,17
508,12,10,1,18,12
509,15,10,2,11,16
510,8,23,3,11,13
511,18,21,1,20,18
512,15,10,3,12,10
513,17,20,2,20,20
514,22,9,2,7,23
515,9,24,2,24,10
516,5,12,2,6,16
517,22,6,1,20,8
518,13,18,2,12,5
519,8,21,2,10,18
520,13,13,3,22,24
521,13,6,1,18,22
522,19,5,3,21,22
523,13,11,1,11,22
524,14,7,3,12,7
525,12,23,2,21,15
526,18,8,3,11,16
527,13,23,2,12,15
528,10,14,1,14,24
529,8,5,1,5,13
530,18,19,2,19,12
531,20,19,1,24,9
532,20,19,3,18,11
533,17,17,2,8,7
534,16,22,2,6,7
535,15,15,1,6,9
536,11,22,3,23,23
537,22,11,1,8,24
538,23,23,2,17,10
539,9,19,2,8,8
540,16,9,2,23,23
541,9,19,3,6,13
542,19,9,2,6,20
543,14,10,1,17,8
544,20,12,3,16,24
545,22,9,3,12,6
546,17,21,3,16,12
547,15,19,2,16,12
548,19,18,3,10,13
549,15,19,3,7,16
550,13,14,3,15,10
551,17,15,3,22,23
552,20,9,3,23,21
553,20,18,3,19,11
554,11,12,3,24,17
555,6,17,3,6,24
556,22,6,3,20,5
557,23,13,1,5,13
558,16,9,2,19,10
559,9,5,1,21,20
560,17,16,1,9,5
561,15,20,3,5,19
562,12,12,3,5,23
563,23,19,3,24,6
564,16,7,3,12,15
565,17,10,1,9,21
566,11,23,3,21,24
567,16,18,1,11,15
568,9,10,3,15,6
569,12,15,2,20,11
570,12,14,2,8,9
571,6,19,3,12,15
572,16,12,2,21,7
573,9,22,1,17,7
574,11,18,2,17,18
575,5,19,1,19,12
576,15,18,1,7,16
577,20,9,2,23,22
578,13,14,2,11,22
579,5,8,2,12,23
580,6,24,2,7,11
581,24,11,2,9,6
582,5,8,2,18,5
583,23,17,1,7,13
584,13,16,1,10,13
585,6,13,1,13,20
586,9,24,1,17,16
587,24,22,2,18,18
588,15,13,2,18,17
589,21,22,2,10,23
590,9,12,2,16,20
591,13,9,1,23,17
592,12,7,1,18,21
593,5,15,3,21,15
594,18,19,2,21,15
595,22,9,3,6,18
596,18,16,3,19,22
597,11,12,1,19,20
598,17,12,3,14,22
599,22,16,2,7,10
600,12,14,1,19,10
601,15,11,3,17,5
602,20,11,2,12,17
603,20,20,2,22,22
604,13,20,1,20,10
605,21,16,1,14,8
606,13,12,2,10,21
607,15,9,1,19,8
608,17,10,2,8,10
609,8,8,3,23,12
610,17,7,3,20,6
611,14,6,3,7,6
612,19,22,2,8,23
613,7,11,2,9,12
614,21,24,3,15,12
615,19,21,1,17,13
616,8,7,3,22,14
617,20,24,3,17,5
618,8,7,3,14,18
619,22,5,2,11,23
620,18,14,2,15,21
621,7,21,1,5,8
622,13,8,2,22,20
623,22,9,3,11,6
624,18,6,2,8,10
625,13,18,1,24,14
626,6,24,1,15,13
627,5,20,3,16,14
628,19,11,1,16,7
629,14,14,2,19,5
630,23,15,3,7,14
631,7,22,1,7,14
632,24,18,1,17,15
633,7,17,1,9,5
634,9,11,3,11,12
635,16,21,3,21,18
636,24,12,2,14,23
637,15,22,3,13,7
638,12,18,3,10,21
639,5,9,1,17,18
640,23,22,3,22,16
641,23,16,1,10,18
642,11,22,2,8,20
643,8,18,1,17,16
644,12,22,1,12,12
645,22,10,3,13,22
646,13,17,1,9,6
647,14,24,2,9,24
648,18,14,1,6,19
649,22,23,1,22,10
650,11,17,2,13,23
651,18,23,2,16,14
652,7,9,2,9,21
653,22,8,2,22,17
654,18,17,3,8,24
655,16,11,3,20,11
656,20,5,1,13,12
657,14,9,1,17,10
658,5,15,1,21,7
659,19,23,1,21,15
660,22,12,3,15,15
661,6,20,1,23,24
662,8,22,1,11,15
663,8,5,2,9,23
664,20,22,1,22,23
665,10,17,3,20,18
666,19,18,3,24,11
667,9,6,1,23,22
668,13,6,2,11,20
669,16,22,2,22,18
670,24,17,2,21,11
671,5,14,1,15,9
672,6,22,2,18,8
673,22,15,2,23,11
674,23,11,1,6,15
675,18,9,3,17,20
676,12,12,1,14,15
677,6,12,3,7,9
678,18,9,2,17,14
679,23,19,2,21,18
680,21,17,2,9,18
681,20,6,2,17,15
682,12,16,1,18,12
683,14,5,3,15,23
684,17,20,2,13,9
685,12,19,1,20,14
686,14,18,2,17,16
687,18,10,1,7,6
688,7,20,3,11,6
689,19,15,1,5,5
690,13,20,3,7,19
691,21,11,1,13,18
692,11,10,2,7,19
693,14,9,2,23,8
694,20,19,3,23,5
695,24,20,2,13,14
696,5,17,3,13,11
697,10,20,2,6,6
698,15,23,3,21,19
699,12,13,3,18,23
700,12,20,3,19,10
701,20,11,2,17,10
702,10,5,2,21,5
703,18,21,1,12,23
704,5,12,1,21,20
705,14,15,3,5,17
706,5,23,2,24,17
707,8,24,1,18,23
708,24,8,1,20,11
709,20,14,3,21,8
710,19,9,3,16,9
711,7,24,1,7,17
712,13,8,3,15,19
713,20,13,3,24,17
714,9,16,3,6,9
715,8,17,1,16,8
716,22,20,1,23,6
717,6,9,3,24,17
718,17,19,1,12,9
719,10,12,2,22,24
720,13,15,2,11,21
721,5,10,3,14,9
722,16,21,3,10,6
723,16,18,1,16,5
724,21,17,3,13,14
725,15,8,1,12,22
726,9,23,2,16,13
727,14,20,3,13,10
728,23,7,3,16,21
729,18,10,1,8,21
730,16,15,2,15,8
731,16,11,2,21,24
732,13,21,3,9,22
733,18,8,1,16,23
734,16,9,1,20,21
735,8,15,2,16,16
736,20,10,3,15,16
737,8,12,3,9,21
738,21,7,2,23,21
739,10,21,3,17,15
740,13,20,1,5,22
741,21,24,3,22,8
742,12,18,2,12,10
743,15,13,2,9,7
744,12,16,1,14,14
745,21,5,3,8,13
746,20,6,1,11,11
747,7,5,3,19,19
748,12,8,3,19,14
749,7,15,2,7,16
750,5,22,2,19,17
751,10,15,2,5,14
752,16,16,2,21,13
753,20,16,1,6,22
754,21,22,1,18,13
755,19,14,3,10,14
756,22,22,3,13,19
757,16,23,3,11,21
758,14,22,1,7,11
759,13,18,3,20,5
760,24,11,1,11,6
761,18,5,1,14,24
762,13,11,2,5,24
763,5,17,3,20,11
764,18,10,2,13,8
765,22,6,2,16,5
766,12,8,2,17,5
767,13,10,1,6,10
768,5,14,2,12,12
769,24,17,3,18,17
770,6,20,1,19,14
771,12,16,3,14,7
772,16,16,1,21,21
773,24,7,1,22,7
774,24,11,3,18,14
775,22,6,2,17,13
776,11,11,2,7,13
777,11,23,1,12,11
778,7,8,3,24,23
779,8,14,1,19,14
780,7,5,1,14,11
781,14,21,2,20,17
782,19,9,3,12,20
783,14,23,3,11,21
784,19,18,3,22,5
785,11,13,1,11,20
786,7,17,3,19,23
787,12,16,2,7,18
788,7,17,3,21,11
789,20,18,3,13,19
790,6,11,3,17,23
791,7,21,1,19,11
792,15,7,2,14,10
793,9,10,3,18,17
794,6,15,2,23,12
795,13,9,3,9,10
796,16,16,2,11,21
797,12,23,1,15,21
798,15,23,3,6,6
799,7,19,1,18,20
800,13,23,1,11,24
801,20,14,3,15,21
802,22,17,2,21,8
803,12,23,3,23,23
804,13,12,2,11,19
805,21,9,3,7,11
806,24,21,1,15,13
807,8,12,2,17,9
808,13,8,2,14,20
809,17,6,1,7,21
810,15,16,2,16,16
811,13,11,1,16,16
812,10,17,3,6,24
813,10,7,1,15,15
814,19,17,3,6,5
815,5,8,3,9,22
816,21,11,3,15,20
817,6,5,3,21,7
818,19,8,2,16,11
819,13,20,2,6,23
820,15,10,2,17,14
821,19,22,3,23,10
822,17,6,2,15,23
823,21,20,2,10,19
824,14,13,1,8,19
825,20,7,3,14,15
826,19,13,3,8,17
827,8,6,2,11,18
828,18,14,3,16,11
829,12,16,3,16,20
830,21,19,1,24,8
831,11,12,2,7,11
832,14,10,3,5,23
833,13,19,3,7,12
834,18,7,2,15,8
835,18,22,1,14,19
836,24,11,1,10,19
837,15,15,1,15,18
838,14,5,2,15,18
839,21,16,3,18,5
840,12,9,2,17,17
841,18,16,2,10,23
842,24,12,3,7,5
843,19,16,2,21,23
844,22,5,2,15,19
845,9,7,2,5,20
846,15,12,3,5,14
847,19,21,3,5,20
848,16,15,3,12,22
849,15,16,2,14,8
850,12,19,2,19,14
851,7,19,2,6,20
852,14,13,2,21,8
853,24,20,1,12,5
854,17,14,3,5,15
855,8,14,2,6,18
856,20,12,3,19,9
857,22,15,3,19,13
858,12,5,3,13,21
859,14,14,3,10,23
860,14,19,1,21,14
861,9,8,2,7,20
862,16,23,2,23,13
863,23,21,3,11,20
864,19,19,1,24,14
865,24,18,3,5,5
866,5,5,2,17,15
867,8,22,2,13,21
868,20,8,3,21,22
869,18,14,2,6,8
870,6,18,2,19,14
871,8,19,3,10,5
872,9,6,2,15,21
873,16,16,1,8,11
874,7,23,1,9,10
875,5,14,2,6,24
876,7,15,1,15,22
877,23,12,2,11,10
878,11,14,3,6,5
879,5,6,1,11,20
880,24,20,3,20,7
881,20,15,1,17,8
882,17,19,1,16,6
883,10,23,2,20,5
884,8,6,2,6,5
885,24,6,1,13,22
886,9,10,2,8,5
887,8,15,2,21,8
888,12,5,1,23,24
889,18,16,1,15,9
890,6,21,2,11,6
891,5,7,3,19,20
892,6,20,1,11,22
893,18,8,1,9,8
894,17,7,1,14,6
895,7,6,1,22,22
896,13,12,3,19,6
897,10,24,2,18,24
898,8,16,1,23,22
899,15,17,1,21,9
900,9,6,1,20,23
901,5,7,1,18,23
902,14,8,2,15,16
903,24,18,2,18,11
904,14,14,2,23,12
905,12,14,2,20,10
906,12,9,3,23,20
907,7,23,2,13,21
908,18,17,3,22,11
909,9,22,1,23,16
910,19,23,3,23,7
911,12,10,3,7,19
912,19,19,3,20,18
913,12,16,3,16,11
914,7,24,3,15,16
915,22,13,3,5,9
916,22,24,2,21,22
917,6,18,1,10,13
918,8,6,3,15,16
919,11,8,1,19,15
920,18,19,3,13,10
921,15,9,3,11,21
922,7,13,1,7,17
923,8,24,2,6,18
924,23,8,2,6,11
925,23,20,1,12,11
926,18,12,3,14,13
927,10,19,2,23,14
928,9,21,2,5,19
929,16,21,3,6,15
930,5,8,3,10,16
931,20,16,1,10,14
932,7,16,1,5,24
933,16,9,2,8,21
934,16,23,1,18,9
935,6,9,2,15,16
936,5,15,3,23,19
937,11,9,3,8,15
938,9,9,3,14,16
939,16,11,2,20,23
940,6,16,3,23,24
941,15,21,3,5,20
942,8,22,3,12,8
943,8,23,3,16,20
944,22,11,1,23,18
945,19,23,1,16,7
946,19,9,2,5,6
947,22,6,3,18,10
948,13,22,3,16,5
949,11,11,3,22,20
950,8,18,3,20,9
951,23,19,3,10,9
952,19,8,3,7,12
953,10,8,2,24,15
954,8,19,1,20,21
955,5,5,3,17,16
956,21,20,2,20,21
957,12,18,3,9,7
958,16,19,2,16,16
959,6,8,2,17,8
960,11,19,3,21,17
961,11,5,1,13,9
962,6,10,3,24,23
963,15,20,3,9,21
964,19,8,3,5,24
965,14,18,2,7,15
966,5,20,2,16,12
967,21,7,3,18,13
968,10,11,3,15,9
969,22,5,3,24,24
970,21,12,3,6,10
971,15,6,3,7,23
972,19,19,3,12,24
973,6,22,3,24,23
974,10,15,2,11,17
975,15,18,2,24,7
976,12,7,1,15,16
977,9,21,2,16,17
978,24,23,3,20,6
979,8,12,3,20,15
980,8,9,2,8,18
981,14,6,2,23,6
982,18,21,1,21,24
983,24,5,3,23,17
984,18,15,2,23,12
985,17,19,3,15,11
986,15,19,1,18,18
987,16,18,1,12,7
988,24,9,3,8,18
989,18,5,2,10,19
990,22,10,1,23,17
991,13,19,1,10,19
992,9,9,3,15,19
993,12,7,2,12,15
994,6,14,1,9,15
995,22,8,3,15,14
996,17,11,1,17,20
997,10,20,2,5,20
998,23,10,3,8,5
999,7,10,1,20,8
1000,16,5,1,18,15
1001,5,13,1,9,14
1002,16,8,1,18,14
1003,20,8,2,5,14
