IDRoute,TimeHours,CityA,CityB,Kilometers,AvgSpeed,FuelUsed
112,4,13,23,323,25445,50
113,32,20,15,34,4494,0128
114,4,15,14,89,0968,2
115,32,8,20,2,56409,4
116,16,9,20,49,74,8
117,16,24,9,2,8,22336
118,4,24,18,6655,5534,56
119,32,23,16,1,72,756
120,32,6,15,10309,7,8
121,32,10,13,8,266,6363
122,16,19,9,02,38110,17
123,16,21,8,84405,55076,997
124,16,6,21,97024,5208,49726
125,4,10,18,6,7913,718
126,16,12,18,78702,5,1
127,4,21,20,6,08308,8043
128,16,11,10,37200,49,1
129,16,14,11,88301,2569,94110
130,32,19,23,82,6,2
131,4,8,10,75,53406,972
132,4,7,9,9,7906,58911
133,4,20,18,8191,04,6
134,16,17,13,10113,79737,708
135,16,6,12,8543,0133,5
136,4,18,18,37,165,492
137,4,19,19,729,6694,7
138,16,17,18,3,8136,0579
139,16,15,23,002,84108,730
140,16,12,17,479,373,6690
141,16,7,17,50483,34406,75914
142,4,13,13,4797,7022,69454
143,16,19,23,62,28,9
144,32,19,12,3678,852,7
145,4,19,9,6580,468,21
146,16,9,14,5,38,65
147,4,11,9,132,169,81
148,4,22,11,867,539,220
149,16,12,22,8,7349,8
150,16,14,9,8,32,4
151,16,5,19,00779,14,080
152,32,11,7,6252,1461,7
153,32,23,16,1,02,4
154,16,6,19,671,27,66988
155,4,7,24,9,79,4153
156,4,23,24,8255,56,7103
157,4,20,9,4589,312,01597
158,4,16,7,478,8,96
159,4,21,20,755,1055,0
160,32,22,11,28,9239,889
161,32,14,12,015,0,90
162,32,24,20,86686,0,2152
163,16,24,18,13486,01743,83464
164,4,18,5,13,1039,28
165,4,16,11,3,455,3
166,4,21,9,321,87,40416
167,4,14,15,246,1660,765
168,32,22,6,83399,36524,50847
169,16,21,22,9,02514,4
170,4,20,10,8,3,929
171,32,14,17,537,6052,5005
172,32,7,19,830,773,4
173,4,12,10,7462,4,55831
174,4,23,15,114,14,85984
175,4,12,15,05153,24437,1046
176,4,10,9,902,83,118
177,4,17,14,7,9,0214
178,32,8,24,0,7691,157
179,32,8,10,4849,86,4667
180,32,16,21,20248,683,495
181,4,18,7,1,0,222
182,4,23,6,8,694,6
183,4,18,13,52699,62291,7960
184,32,18,15,28,1,2
185,32,5,8,6,608,2
186,4,18,5,75,5,534
187,4,16,6,66,82,9
188,32,14,12,374,409,9260
189,4,23,19,60,266,76659
190,4,23,20,45641,0,82
191,16,20,22,4197,627,02
192,32,23,21,41,20967,22273
193,32,19,18,846,96347,308
194,4,17,17,5,98966,2920
195,16,19,17,535,76007,18375
196,32,12,11,4,4,8029
197,4,13,17,49,39,75404
198,4,23,14,8020,603,4305
199,32,9,13,277,6,34654
200,16,12,24,09,37,63
201,32,7,16,65,1,22485
202,32,21,16,7307,5862,9922
203,32,20,9,876,0712,67886
204,4,23,7,49,2,32
205,4,22,10,6,73866,7238
206,16,7,24,2039,823,1
207,4,9,17,4,99,3588
208,16,6,17,2,74,63
209,4,10,13,93,83,975
210,32,14,5,6005,0969,972
211,4,8,11,9628,91,4
212,16,17,21,61530,43691,83
213,4,23,10,01,85461,042
214,16,14,9,6148,16504,58
215,16,5,15,41,0488,0609
216,4,18,8,30,375,5661
217,4,16,17,46,9,8981
218,16,24,17,04,0093,20
219,16,14,12,7354,0,6382
220,16,17,23,34,6,966
221,4,24,24,48,54075,1
222,32,6,10,93,303,767
223,16,18,14,08596,768,86406
224,32,5,20,2,43984,51
225,4,9,15,62,1,09142
226,4,8,5,6,20,768
227,4,11,6,0,33,77325
228,16,10,15,71,509,740
229,4,5,22,27326,88,1
230,4,16,20,3824,8,98
231,32,24,9,44,41164,4446
232,32,12,24,722,9019,27813
233,4,10,20,456,499,67669
234,4,13,7,379,233,8
235,32,24,24,44271,523,53
236,16,7,9,31,0924,6
237,16,16,9,88,0817,5
238,4,8,24,1,93223,54
239,4,13,13,64,48855,29296
240,16,21,11,98,21,169
241,16,19,15,9,50545,4
242,16,9,13,00,1522,25314
243,16,21,14,1,28,51262
244,16,20,11,18,79,8
245,32,23,21,2,088,85
246,4,9,15,592,3,1274
247,16,21,7,00329,05,1
248,4,17,24,046,66084,07
249,16,18,8,9144,50,291
250,16,6,17,33497,15,259
251,4,11,20,9264,6,09
252,4,22,22,4493,523,047
253,4,9,23,5,30173,0
254,16,15,12,391,9,751
255,16,19,9,7938,5355,69
256,16,9,23,0476,9,3152
257,4,8,13,58,917,6
258,32,16,14,33,7,2
259,32,11,15,856,9189,64326
260,16,20,12,5,40653,70
261,4,5,15,01,654,71
262,32,12,22,72,7,4264
263,16,11,16,207,645,424
264,16,7,18,5596,7,15940
265,4,17,5,39,313,61334
266,4,21,10,56383,4860,415
267,16,24,10,03697,9,5
268,16,23,20,272,65,98
269,16,17,19,3428,5,7
270,4,24,18,3,8,97777
271,16,17,12,1107,0,3
272,32,12,22,333,23,42
273,4,11,22,2,609,85
274,32,9,10,3,3,942
275,16,13,5,76,10556,12063
276,4,23,23,6,46499,766
277,4,7,18,987,81349,9126
278,32,5,9,02,53,6148
279,16,16,22,12,2741,58593
280,32,21,20,29,747,48907
281,32,11,13,670,66,36971
282,4,5,24,268,7330,3
283,4,22,21,2,31,628
284,32,23,24,068,9,10081
285,32,12,24,7054,48438,44
286,16,9,6,59,05,61
287,4,14,14,848,3180,54
288,16,7,9,44,4,74438
289,4,17,23,5,16208,5
290,16,19,19,9,6,30
291,16,12,24,160,659,9
292,4,22,7,38,24,1694
293,32,19,10,492,766,5
294,32,20,10,125,8,88751
295,32,17,17,5,76165,8
296,4,6,10,30115,171,57
297,4,11,17,08,804,1
298,16,16,7,4,41,293
299,16,17,17,79188,7,0
300,4,11,10,1513,00804,7
301,4,16,19,75708,980,40
302,4,15,8,978,81479,2
303,16,15,8,29,2091,099
304,4,10,14,6,18,59
305,4,14,7,602,81,18
306,4,7,20,7925,7,6361
307,4,15,14,44031,13650,7
308,32,17,14,8,75119,9262
309,4,14,10,397,5,360
310,32,11,8,31119,89058,54
311,32,24,8,61,844,55
312,32,22,12,723,41,405
313,32,7,19,34,617,8
314,16,13,13,691,8946,1
315,16,19,23,2724,7263,7539
316,4,21,5,85,205,12007
317,32,10,15,80477,4,956
318,32,6,23,36337,15932,8792
319,32,14,16,007,0032,0
320,4,13,24,286,7680,0651
321,32,23,13,9,58979,95
322,32,14,14,20089,1734,9887
323,32,14,22,16019,77062,79
324,4,24,10,863,77290,98
325,4,23,19,6,430,11
326,4,8,7,46,3819,27940
327,32,5,19,91,8538,9214
328,32,8,16,42,21,84
329,32,22,11,2,436,95
330,32,18,7,93,61450,5175
331,16,8,10,05524,936,1
332,16,23,11,8,22,766
333,4,6,19,8,6528,30
334,32,23,21,712,8257,00
335,4,13,12,0098,859,1
336,32,6,16,1378,9,8710
337,32,20,21,5,470,989
338,16,7,21,89445,73592,41
339,32,6,9,64,63,01740
340,32,9,5,79588,11,4063
341,32,17,15,9390,5,03
342,32,11,17,128,0981,3916
343,4,24,17,7,5,7826
344,4,21,19,3,095,76139
345,4,19,22,865,36,33
346,4,24,9,542,7922,13
347,16,22,19,7,148,673
348,16,22,16,70,14901,26931
349,32,10,19,3915,2912,9427
350,16,24,17,7758,485,71117
351,32,6,14,064,62,4527
352,16,14,16,129,7778,2
353,32,9,14,017,2,04
354,32,21,9,1,58673,5
355,16,9,12,048,3546,3617
356,32,20,22,3602,5643,92020
357,16,6,21,99,2,53784
358,16,9,5,2604,5758,04777
359,4,16,24,7,9441,782
360,4,15,10,6,0679,03764
361,16,13,18,68659,49192,3
362,16,7,11,241,98,51
363,4,23,10,1,5,5514
364,16,18,10,55690,744,457
365,16,12,8,40730,948,1
366,32,15,18,7477,40,78
367,4,7,12,52,706,97
368,32,5,11,8338,89318,4
369,32,20,13,21,7759,9981
370,4,20,14,1,8,02
371,16,19,7,316,3,49013
372,32,10,20,27,205,826
373,32,11,11,337,3168,144
374,32,11,5,0558,9,1336
375,32,20,14,76767,6,208
376,16,12,5,84663,509,6
377,16,24,22,255,57,527
378,4,21,11,24564,8,6
379,16,23,6,9899,48501,2813
380,16,12,11,3,94,1540
381,32,23,17,3055,4,74249
382,4,16,18,177,00,883
383,16,22,23,921,19,014
384,4,13,14,454,000,1890
385,4,6,24,75,79,15287
386,32,5,13,67,6,077
387,32,15,15,123,416,78244
388,16,15,14,01,8,6
389,4,16,23,66842,974,4162
390,4,20,22,7808,01,05
391,4,15,17,9,204,16
392,4,24,6,0,26,87405
393,32,18,9,8268,5198,8193
394,4,10,5,3,62,0146
395,4,6,12,2317,40,391
396,32,7,16,73,77,58
397,4,21,10,4515,63,912
398,32,7,12,471,88,65995
399,32,10,19,2,20445,870
400,4,17,7,02,3,256
401,32,15,17,19,8980,82235
402,32,17,10,47625,821,092
403,4,5,15,2875,620,55218
404,4,12,7,8,4472,763
405,32,13,5,2439,51330,9698
406,4,11,16,8,2,0720
407,32,23,20,99,1,881
408,4,23,22,72,65,3863
409,16,14,17,7,65110,97669
410,4,8,18,12,990,2702
411,32,9,10,2211,466,22
412,16,11,7,44789,77,6
413,32,23,13,16000,2,9468
414,16,22,24,4,961,67
415,16,6,10,698,525,15
416,4,13,13,47,74,342
417,32,8,10,4,21895,07091
418,32,9,10,7568,1736,1
419,16,13,14,4,83,079
420,4,8,7,67,31807,789
421,4,7,18,954,75,87995
422,32,20,7,530,67195,8
423,32,5,23,5,76,8277
424,32,5,23,23,07580,5
425,16,19,13,9,37,18069
426,4,8,17,73105,202,139
427,16,22,24,35376,734,1014
428,16,16,24,3,766,5116
429,4,11,8,10,1,12
430,4,8,20,148,4392,1
431,4,8,13,1321,8649,9570
432,4,24,21,04,454,5
433,16,11,9,387,8085,31048
434,32,22,23,043,9746,88579
435,32,20,23,5,171,9956
436,4,13,21,3988,5,435
437,4,10,18,6582,9063,7109
438,32,19,17,820,1599,5958
439,32,11,7,35,79,6594
440,4,8,16,3397,5,25053
441,4,19,17,29,58633,6648
442,4,21,16,05,667,77620
443,4,13,23,9742,8370,0
444,32,10,18,2217,29391,948
445,32,5,20,79,26727,3850
446,16,8,24,1,7312,2484
447,16,10,6,9197,6858,40802
448,16,24,8,0,399,8643
449,4,18,17,4606,86,0
450,32,8,7,528,8,85
451,32,17,21,4161,190,5473
452,4,6,15,70,13,7
453,32,13,14,9,46,8981
454,32,19,24,99,19124,2
455,4,10,10,0,0,3
456,32,15,7,93648,775,62184
457,4,16,21,397,40775,40
458,32,20,10,993,16121,719
459,4,20,14,9504,82991,2376
460,32,11,13,7445,0,968
461,4,20,17,2,31856,21475
462,16,10,7,31,042,9
463,4,8,13,10546,5,5
464,4,5,7,814,16385,91021
465,32,18,10,32,09007,91034
466,32,8,11,85026,2270,308
467,4,16,13,90,85,0298
468,4,15,20,02382,8230,89
469,4,5,8,2,5,70
470,32,10,13,4,64,273
471,4,10,14,8308,15922,83328
472,4,24,19,83186,77,91396
473,32,24,12,97,4442,9
474,32,17,22,98817,4,68
475,32,17,8,7714,221,32
476,16,19,9,30249,93274,47
477,4,13,24,7,22,9
478,4,22,13,3,74280,4956
479,32,8,14,2770,90023,031
480,16,22,14,78081,99,6
481,16,5,21,96,23,9
482,4,10,11,8,94077,0
483,4,12,8,36,2,39
484,32,22,16,59459,88730,857
485,4,22,7,319,14,603
486,4,13,8,973,11293,046
487,32,23,14,73,3,7
488,16,9,9,082,69,3416
489,4,23,18,18504,57,687
490,32,21,16,844,3257,73144
491,4,16,14,75,7107,8792
492,32,9,8,75,05,71978
493,4,23,21,779,93,935
494,4,11,14,4149,27,928
495,16,7,17,875,60,930
496,32,11,8,0,70259,0
497,32,11,8,26117,75965,25
498,4,20,14,59108,05746,61
499,32,7,13,44,1049,44192
500,32,10,21,5,83832,41
501,16,21,15,344,68735,975
502,32,20,20,099,67,953
503,32,23,10,06,3,290
504,4,12,12,12903,04,4
505,32,13,19,25971,9,2533
506,32,23,24,342,8,4367
507,32,19,14,52,7,6
508,16,21,6,87412,75217,0088
509,32,15,24,86,9,789
510,16,6,17,1,77,7
511,16,21,24,35126,677,8
512,32,10,21,4,19338,29548
513,16,13,8,314,364,440
514,32,7,8,8,6976,4308
515,32,11,7,72,070,91
516,32,15,17,1137,49,913
517,32,15,11,959,0,8
518,32,12,12,8,7,8
519,4,24,11,151,6,9
520,32,21,14,738,2550,4
521,4,13,12,827,055,553
522,32,14,11,881,66637,17
523,4,22,8,2,76,302
524,16,16,17,0108,9322,62382
525,16,20,14,926,4215,90141
526,16,6,18,58149,08,25
527,32,21,22,3,5748,095
528,4,9,22,89018,485,22351
529,32,21,16,51561,62,0
530,16,22,19,7886,2513,4
531,16,9,24,211,04477,558
532,4,21,10,75,208,3
533,32,15,10,5,4668,92321
534,32,14,16,2,325,577
535,16,17,12,4753,05,5323
536,4,8,17,2981,88,24
537,4,6,24,89019,29920,23573
538,16,24,23,00331,12678,601
539,4,7,24,323,83699,6935
540,32,9,12,05305,46692,490
541,4,21,11,60,14,67
542,32,13,13,636,9,0
543,4,19,9,21407,7,994
544,4,17,14,189,26,52
545,32,23,23,73872,81,18
546,4,12,10,543,216,3944
547,4,10,24,696,55556,0713
548,16,10,20,411,3907,2232
549,32,23,8,414,4857,509
550,16,16,24,63,1,0011
551,32,15,5,093,7,531
552,4,15,16,32,85,8771
553,4,16,21,740,3,42
554,4,9,22,3,070,3
555,4,7,23,631,085,35
556,4,23,12,1,0,5
557,4,9,5,5,3,6
558,16,21,14,66,100,3294
559,16,21,9,664,8,05863
560,16,20,16,808,6,0
561,16,17,17,4832,4,39
562,32,18,5,42958,7805,817
563,4,8,15,59979,32,4
564,32,7,13,91,09739,7417
565,32,21,12,8,05634,0381
566,4,22,17,8695,6,36
567,16,20,22,33997,7540,38982
568,32,5,22,4,3127,4111
569,16,15,7,6230,73,9316
570,4,12,17,5879,83617,0520
571,16,23,12,309,91,740
572,16,12,13,824,16771,04
573,32,24,22,45267,4,761
574,32,14,20,874,4833,688
575,32,11,21,77,76394,696
576,4,14,17,57,037,1354
577,4,16,22,5324,253,8
578,4,24,13,424,7,740
579,32,13,24,4,6,39068
580,4,15,14,80477,56974,08
581,32,12,6,73902,905,34489
582,16,18,13,6069,9,3780
583,16,7,22,4,78887,55
584,32,13,9,7148,2576,904
585,16,16,16,9262,144,484
586,16,14,23,7,714,3
587,4,14,18,55489,85,08117
588,4,5,10,3794,333,217
589,16,22,18,33676,37,443
590,16,18,17,16,44406,8530
591,32,5,21,4340,21265,31
592,32,16,24,7401,2,0398
593,32,9,10,631,11,683
594,16,11,6,703,03,1603
595,32,8,21,0525,07,8
596,32,6,9,4444,16,26482
597,16,10,19,985,31905,00
598,4,11,5,0,82,25676
599,16,17,20,860,891,65
600,16,23,12,46,49,4489
601,16,7,14,0,0541,543
602,32,14,13,96,30839,411
603,16,17,12,118,8470,8688
604,32,24,7,471,418,67
605,16,24,16,519,59405,55
606,16,24,9,804,1090,03722
607,32,17,5,59053,388,5031
608,4,19,13,07,1,0
609,4,6,22,09,57605,0612
610,4,10,23,21454,87,55
611,16,12,21,108,33,8
612,4,13,9,334,9943,0
613,4,20,13,993,31836,264
614,16,22,7,8,48,28
615,16,12,5,58379,8258,01692
616,4,12,8,06,3484,8
617,16,9,8,42883,068,4
618,4,22,15,85,61,0505
619,32,24,15,25699,409,8011
620,16,9,14,477,8959,116
621,32,13,23,522,8,9
622,4,11,6,36,79,95015
623,16,21,14,5815,8502,507
624,32,24,21,4728,40,4114
625,16,23,23,15831,636,3
626,16,11,10,45594,37,168
627,4,8,13,71574,67449,95747
628,4,18,23,1,5,5691
629,16,14,10,965,321,52
630,32,6,17,1,06,75
631,16,21,23,132,8346,83
632,4,22,12,47,9,261
633,16,23,15,76,43,236
634,4,9,9,02,2,6
635,32,20,22,50,1288,26659
636,32,12,24,34418,13610,36434
637,32,15,22,209,40990,8
638,16,19,23,4,9,54554
639,16,7,14,6482,3,40420
640,16,21,21,4496,0,4
641,32,16,7,616,09615,77317
642,32,21,15,9,0,20414
643,16,18,11,468,1,261
644,4,7,5,946,14526,95
645,32,14,16,5749,92402,3851
646,4,8,8,9,05,98
647,4,12,13,803,408,65530
648,16,21,7,67,8609,36159
649,4,6,19,0623,2,7
650,32,19,19,31,79,0675
651,32,9,6,92,8895,10
652,16,17,9,7,4,66691
653,32,6,22,7,29,2
654,4,22,9,80015,88,833
655,32,5,13,60,8335,06
656,16,10,13,4712,34873,69845
657,16,8,21,19405,166,436
658,32,20,17,95296,1,3
659,4,8,24,938,95482,293
660,32,19,20,8,2,817
661,4,12,14,6021,41008,8905
662,32,8,22,36,08109,534
663,16,19,10,3,50893,52
664,32,13,9,085,8252,60383
665,4,13,9,0,2,350
666,4,9,7,2849,6,41872
667,32,6,6,4,041,21387
668,16,16,7,5186,759,6389
669,32,5,8,5041,22,03
670,16,13,22,781,80,90262
671,16,10,7,3634,49,605
672,16,6,21,30,22,42174
673,32,6,14,346,103,41
674,32,24,5,10,323,3442
675,4,16,9,929,2,9
676,4,15,5,92,88132,4481
677,32,23,10,35,58014,01
678,16,9,19,272,83,333
679,4,9,18,3135,82,27
680,4,16,10,913,44723,41
681,4,16,9,51206,9,136
682,16,6,16,92559,3293,048
683,4,12,12,2,1,87
684,32,15,6,8,5913,6799
685,16,5,18,5,9,0580
686,4,22,24,9531,68919,34
687,16,19,8,74,865,54
688,16,5,21,1,45,65636
689,4,14,8,54065,160,32
690,16,6,16,04147,850,8626
691,4,7,14,4489,3,21
692,32,22,24,2,74333,594
693,32,13,5,03705,33,4759
694,4,6,20,1981,18150,435
695,16,22,15,86540,3,18
696,16,16,17,58054,08,85407
697,32,12,22,8,5836,7801
698,4,7,15,193,0,593
699,32,8,12,7871,047,9
700,32,11,5,18425,93,41862
701,32,23,20,8766,5,54
702,32,16,6,810,17,445
703,32,20,22,483,6,55
704,16,20,20,518,28973,75
705,32,19,9,549,59,986
706,32,7,23,15,182,570
707,16,12,5,8,0,95
708,4,8,15,9775,941,96704
709,4,5,19,62750,19,056
710,16,6,13,539,8,3
711,4,23,17,67090,58,148
712,16,23,21,9113,8644,845
713,32,7,19,05315,80663,96251
714,4,16,9,61,10388,46
715,4,5,14,1204,27543,86
716,16,6,9,4,1520,6
717,32,24,22,0337,86046,5290
718,32,13,7,5298,8,66
719,32,17,12,999,5,96
720,32,6,9,8541,4139,72274
721,32,17,7,06,579,3
722,32,13,22,5257,38629,667
723,16,18,9,9,2376,29093
724,16,13,12,396,60358,6175
725,16,11,22,579,57358,4
726,32,15,23,532,701,34452
727,32,12,16,28997,379,10
728,32,19,15,9436,5,02560
729,32,16,16,630,66364,8
730,4,5,20,80457,47,06
731,16,6,19,480,42,1
732,16,9,15,8122,042,43480
733,16,19,16,663,58,8046
734,16,17,6,1646,6,0
735,16,23,20,7,5897,0
736,32,14,8,560,792,45
737,16,24,18,8,213,97950
738,32,6,12,3463,40252,961
739,4,20,7,63,16709,752
740,4,15,21,5,2821,509
741,4,18,10,75557,7,3066
742,32,9,23,91,4,49962
743,4,11,10,72464,57612,7
744,32,21,12,99,5235,65
745,16,5,18,66282,4,93477
746,16,17,9,34,721,7482
747,16,8,12,16946,8699,3053
748,32,10,19,18688,66005,9
749,16,6,22,73,938,6283
750,32,19,5,38695,208,486
751,16,7,17,1,82,17439
752,32,9,5,117,52315,414
753,16,22,15,65,53935,373
754,16,20,18,29168,1,94
755,4,15,8,122,108,5
756,4,22,24,5,19,25272
757,4,9,18,9,8856,4501
758,16,19,12,330,00,1
759,32,21,17,0398,69,3
760,4,12,15,59,226,7
761,32,24,13,3060,7,76690
762,32,19,10,378,2749,134
763,16,21,8,133,13,448
764,32,10,7,3,7,1180
765,16,22,13,39699,333,312
766,32,8,5,41,57639,1414
767,16,8,18,72443,97,10
768,16,18,18,47002,337,8
769,4,12,20,9,1436,9197
770,32,23,14,273,121,85829
771,4,16,9,077,608,3621
772,32,24,24,754,89,83
773,32,9,14,333,5,2709
774,4,13,9,05520,8,653
775,4,12,22,57,2,1
776,16,20,17,86,37,83713
777,16,19,11,91369,36501,05
778,4,24,14,00313,73804,467
779,32,15,17,33,61,86
780,16,8,15,8,14,2342
781,16,11,10,22,950,28
782,32,15,14,654,5,0620
783,16,8,10,074,466,0
784,4,9,19,3690,7,2281
785,16,22,16,5852,37,63313
786,16,22,6,4328,6,8914
787,4,10,18,2472,9360,25
788,16,8,11,14,55,491
789,32,5,21,18741,8,2
790,16,6,16,775,125,3848
791,32,19,20,23140,38,56
792,4,5,12,01529,7,39
793,32,10,10,091,21672,19331
794,32,19,10,02598,24609,3
795,32,23,11,240,55792,3470
796,32,20,24,32,22,0
797,32,17,21,11,19,6
798,4,10,15,1,24,15238
799,32,22,22,12,345,42055
800,4,6,24,0172,420,3136
801,32,8,22,6606,15419,53954
802,4,11,24,08,2,20563
803,32,16,18,76,86,94761
804,16,16,9,11,5380,3080
805,32,18,12,247,31,8140
806,16,11,5,69,115,148
807,32,21,8,0053,09965,718
808,4,23,9,378,9113,71
809,16,19,5,611,57,9728
810,4,10,11,452,3104,11969
811,32,7,7,4,81288,12
812,16,18,22,6308,0,6
813,4,15,21,259,97439,6281
814,16,5,9,6035,09972,25
815,4,17,18,9,1,4
816,16,7,7,173,52,01
817,32,9,8,13,824,21
818,32,19,20,1218,11788,69258
819,32,10,19,821,235,4503
820,32,17,5,10,8,20670
821,4,14,7,3782,4,106
822,32,14,20,19617,01,6903
823,16,19,11,83,8,67
824,16,21,14,95,1,9902
825,32,6,17,7982,784,042
826,4,19,22,1,1,22808
827,4,14,10,97867,20,1434
828,16,6,10,60552,762,243
829,16,16,6,6817,7494,56643
830,16,6,20,17570,68,575
831,4,8,6,897,551,293
832,32,17,7,92267,5704,894
833,32,24,9,1428,78659,89238
834,32,21,16,241,01022,274
835,32,8,11,84,2104,8114
836,4,11,6,85077,16,0
837,4,6,18,20,4009,25
838,32,11,9,07744,405,201
839,16,10,20,7,94,9314
840,4,17,23,00,4356,50
841,4,12,18,58,07422,32
842,16,5,8,237,11,9882
843,16,24,6,471,028,5
844,32,9,5,71,66,9
845,16,24,15,2,5621,8990
846,32,20,14,2,01173,74180
847,16,9,13,03512,559,90
848,32,12,24,043,80,0
849,32,9,8,08,77,76214
850,4,7,24,8,06,260
851,4,22,20,9121,3316,8089
852,32,24,20,6,867,7
853,4,24,17,85168,5,7
854,16,22,10,4,82942,98312
855,32,6,11,5386,4224,1
856,4,24,6,8,84,0112
857,32,20,10,60167,032,3645
858,32,5,13,2,215,78
859,16,16,16,6102,610,36407
860,32,24,16,9268,9169,7
861,16,15,14,45784,2,9
862,32,23,19,0203,186,379
863,32,10,8,57,22,0
864,16,5,7,86485,05866,51
865,32,11,6,53308,2,607
866,16,5,5,509,88,3
867,32,21,18,36,9,2036
868,16,7,23,039,4,412
869,32,6,8,7839,84280,35
870,32,14,24,35,356,45813
871,32,5,19,46,5,7792
872,32,14,16,92,70,98
873,4,20,9,1,2977,826
874,32,5,6,93983,0574,27839
875,16,13,17,80,911,41
876,16,7,14,6758,94877,84
877,16,10,13,07641,6459,891
878,4,23,10,23,2,42198
879,32,21,11,6585,1688,26
880,4,15,11,58639,90,548
881,32,10,7,9,20882,69440
882,4,9,24,27019,2,4771
883,32,22,23,16935,8,8271
884,32,11,11,39228,53,758
885,32,16,23,99204,8433,8140
886,32,5,8,8,615,19081
887,32,23,22,87500,82104,9923
888,16,15,11,09,1,64
889,32,5,19,32701,8679,8559
890,32,8,9,677,1,4
891,4,8,10,13,112,255
892,4,23,23,7,73,03213
893,16,7,12,727,9998,3
894,4,9,12,8,4,714
895,32,12,10,62,999,225
896,4,22,17,253,9248,393
897,4,12,5,80,731,6
898,4,8,17,16088,9,9978
899,4,10,7,1,98139,6
900,4,24,6,57,8,19
901,4,23,24,72,961,6
902,32,13,24,74,143,0114
903,32,7,20,51397,351,84
904,4,24,17,037,775,226
905,32,10,9,557,04003,67484
906,32,7,23,736,13814,2459
907,16,8,6,98850,40,438
908,4,14,18,0385,2167,13
909,32,7,13,70637,468,7
910,4,10,11,23,96805,885
911,16,10,8,96,7150,244
912,4,7,10,66355,0223,415
913,32,21,11,4,426,80388
914,32,11,12,273,539,2
915,32,22,11,608,810,5
916,32,9,15,191,76146,8
917,32,21,10,39,02988,2192
918,4,19,6,827,222,7423
919,16,8,16,83,9094,852
920,32,9,16,02,809,95324
921,32,9,7,95,6,11
922,16,14,12,3,029,1
923,16,15,10,2008,8479,29
